type,id,lat/u,lon/v,-/dist,name
node,104176809,40.49093,-74.426473,,
node,104176811,40.4909594,-74.4272176,,
node,104176814,40.5259027,-74.4144898,,
node,104176816,40.5256815,-74.4151163,,
node,104176818,40.5255507,-74.4154531,,
node,104176820,40.5255083,-74.4158147,,
node,104176822,40.5255226,-74.4179982,,
node,104176827,40.5254349,-74.4241637,,
node,104176829,40.5252272,-74.4251889,,
node,104176833,40.5249278,-74.4261667,,
node,104176835,40.524704,-74.4266878,,
node,104176837,40.5243742,-74.4273502,,
node,104176838,40.5239118,-74.4281232,,
node,104176846,40.5218006,-74.4295805,,
node,104176914,40.522246,-74.426562,,
node,104176916,40.5222794,-74.4262509,,
node,104176918,40.522311,-74.42553,,
node,104176920,40.522454,-74.425426,,
node,104176964,40.525657,-74.428967,,
node,104176966,40.524918,-74.428193,,
node,104176968,40.524837,-74.4281761,,
node,104176970,40.5247722,-74.4282159,,
node,104178398,40.5073653,-74.4451396,,
node,104178400,40.5075168,-74.4450421,,
node,104179110,40.5308343,-74.4749296,,
node,104181468,40.530587,-74.45765,,
node,104181471,40.530323,-74.457512,,
node,104183274,40.482882,-74.475089,,
node,104183276,40.482188,-74.473966,,
node,104183277,40.48159,-74.474616,,
node,104183279,40.4810149,-74.4752422,,
node,104183281,40.4805634,-74.4757589,,
node,104184469,40.5021995,-74.4463922,,
node,104184964,40.5333814,-74.4199756,,
node,104185092,40.4933173,-74.4230591,,
node,104185095,40.4926828,-74.4227378,,
node,104186377,40.4853214,-74.436921,,
node,104186449,40.4981776,-74.4326991,,
node,104187546,40.471329,-74.460574,,
node,104187548,40.471328,-74.459682,,
node,104188436,40.4659038,-74.4610983,,
node,104188439,40.4661219,-74.4609593,,
node,104189686,40.5273688,-74.4267836,,
node,104189688,40.5269095,-74.4269445,,
node,104189689,40.5267677,-74.4270416,,
node,104189693,40.5266145,-74.4272103,,
node,104189695,40.5263875,-74.4276174,,
node,104189697,40.526043,-74.42842,,
node,104189699,40.525876,-74.428669,,
node,104189701,40.525143,-74.4296937,,
node,104189918,40.488953,-74.4364767,,
node,104189973,40.4940232,-74.4285061,,
node,104189997,40.462906,-74.416471,,
node,104190218,40.4837678,-74.4195861,,
node,104190277,40.4831284,-74.4228793,,
node,104190542,40.4975233,-74.4400279,,
node,104190690,40.478699,-74.4278989,,
node,104190692,40.4786734,-74.4281481,,
node,104190766,40.5095295,-74.4340456,,
node,104190771,40.5091444,-74.43341,,
node,104190900,40.4646328,-74.4538083,,
node,104191017,40.530324,-74.458607,,
node,104191020,40.5300685,-74.4584364,,
node,104191633,40.4926776,-74.4504464,,
node,104192423,40.4946334,-74.4235853,,
node,104192607,40.5045784,-74.4641367,,
node,104192609,40.5043232,-74.464804,,
node,104192611,40.5041076,-74.4649874,,
node,104193252,40.517096,-74.469619,,
node,104193254,40.516736,-74.468682,,
node,104193258,40.518471,-74.4614703,,
node,104193260,40.5181055,-74.4606689,,
node,104193264,40.5275595,-74.468461,,
node,104193267,40.5267483,-74.4669277,,
node,104193335,40.47419,-74.428092,,
node,104193832,40.5232852,-74.4576719,,
node,104193834,40.5233211,-74.4578753,,
node,104193836,40.5233633,-74.4579299,,
node,104193841,40.5236197,-74.4580698,,
node,104193843,40.5237088,-74.4581233,,
node,104193846,40.5237721,-74.4581747,,
node,104193848,40.5238457,-74.4582455,,
node,104193850,40.5239224,-74.4583431,,
node,104193853,40.5241006,-74.4586832,,
node,104193855,40.5241595,-74.458783,,
node,104193858,40.524192,-74.4588082,,
node,104193860,40.5242694,-74.4588249,,
node,104193863,40.5243033,-74.4588119,,
node,104193864,40.5243502,-74.4587795,,
node,104193913,40.5029202,-74.4281493,,
node,104193921,40.5026658,-74.4272916,,
node,104193933,40.5020131,-74.4260694,,
node,104194157,40.4594976,-74.4493551,,
node,104194202,40.479536,-74.4455544,,
node,104194884,40.4861579,-74.4386332,,
node,104194886,40.4863083,-74.4385038,,
node,104199815,40.5014099,-74.4165395,,
node,104199935,40.5273908,-74.4634701,,
node,104201285,40.531231,-74.436708,,
node,104201287,40.531127,-74.436647,,
node,104201288,40.53125,-74.436497,,
node,104201289,40.531316,-74.436473,,
node,104201291,40.531601,-74.436658,,
node,104201294,40.53161,-74.436745,,
node,104201296,40.531544,-74.436894,,
node,104201299,40.531487,-74.436944,,
node,104202500,40.4739779,-74.4818645,,
node,104203010,40.4930864,-74.4497576,,
node,104204685,40.51654,-74.474318,,
node,104204687,40.516521,-74.474329,,
node,104204689,40.5165,-74.474341,,
node,104204691,40.516468,-74.474343,,
node,104204695,40.516436,-74.474332,,
node,104204697,40.516401,-74.474299,,
node,104204699,40.51638,-74.474249,,
node,104204701,40.516375,-74.474207,,
node,104204707,40.516401,-74.474116,,
node,104204708,40.516436,-74.474083,,
node,104204712,40.516479,-74.474071,,
node,104204714,40.516521,-74.474083,,
node,104204716,40.516548,-74.474106,,
node,104204718,40.516569,-74.474139,,
node,104204724,40.516581,-74.474179,,
node,104204727,40.516581,-74.474236,,
node,104204728,40.516569,-74.474275,,
node,104204733,40.4985526,-74.4291439,,
node,104204734,40.4974482,-74.4287131,,
node,104204955,40.4645381,-74.4615741,,
node,104204958,40.4638407,-74.4602514,,
node,104205002,40.4852465,-74.4207599,,
node,104205905,40.5293327,-74.4353416,,
node,104205915,40.5295299,-74.435285,,
node,104206101,40.5075432,-74.4356438,,
node,104206104,40.5070219,-74.4367402,,
node,104206294,40.5304312,-74.4360925,,
node,104207032,40.477285,-74.4414981,,
node,104207034,40.477107,-74.441237,,
node,104207226,40.4904546,-74.4588128,,
node,104207370,40.5035192,-74.4189395,,
node,104207513,40.5038645,-74.4184546,,
node,104208420,40.500353,-74.461418,,
node,104208424,40.500283,-74.461331,,
node,104208426,40.500199,-74.461183,,
node,104208429,40.500142,-74.461042,,
node,104208442,40.4817169,-74.4763762,,
node,104208445,40.482307,-74.475708,,
node,104209358,40.4818783,-74.4498944,,
node,104209360,40.4819529,-74.4498322,,
node,104209361,40.4820221,-74.4497928,,
node,104209363,40.4820933,-74.449764,,
node,104209365,40.482127,-74.4497667,,
node,104209367,40.4821689,-74.4497836,,
node,104209369,40.482203,-74.449818,,
node,104209371,40.4823893,-74.450221,,
node,104209654,40.4795368,-74.4624383,,
node,104209664,40.4792194,-74.4618068,,
node,104210024,40.4998705,-74.4351544,,
node,104210029,40.4998645,-74.4337587,,
node,104210089,40.4998586,-74.4536512,,
node,104212398,40.4774377,-74.4662406,,
node,104212426,40.5287266,-74.4916031,,
node,104213185,40.5205566,-74.484963,,
node,104213187,40.520489,-74.4847988,,
node,104213190,40.5202498,-74.4844685,,
node,104213192,40.5202464,-74.484261,,
node,104213194,40.5202846,-74.4841525,,
node,104213939,40.5072759,-74.4601672,,
node,104213942,40.5072841,-74.4598777,,
node,104213946,40.5072371,-74.459022,,
node,104213949,40.507262,-74.458717,,
node,104213954,40.507276,-74.458624,,
node,104213956,40.507291,-74.458532,,
node,104213958,40.507319,-74.458357,,
node,104213960,40.507404,-74.457824,,
node,104214661,40.4826971,-74.4263381,,
node,104216379,40.50495,-74.4264975,,
node,104217864,40.5047507,-74.459846,,
node,104217867,40.5037419,-74.4576094,,
node,104217869,40.5029435,-74.4594232,,
node,104218328,40.469082,-74.4880996,,
node,104218330,40.468045,-74.48913,,
node,104218390,40.469478,-74.453815,,
node,104218392,40.469887,-74.454448,,
node,104218525,40.530401,-74.457223,,
node,104218528,40.5305123,-74.4567218,,
node,104218531,40.5302927,-74.4498198,,
node,104218534,40.5305987,-74.4507378,,
node,104218855,40.4813685,-74.4198051,,
node,104218859,40.4826447,-74.4187204,,
node,104219034,40.5299755,-74.4585354,,
node,104219035,40.529683,-74.457666,,
node,104219219,40.477447,-74.4332092,,
node,104219220,40.4773911,-74.4333202,,
node,104219222,40.4773108,-74.43343,,
node,104219294,40.4814176,-74.4410093,,
node,104219428,40.5042064,-74.4179792,,
node,104219463,40.4980714,-74.4336285,,
node,104219468,40.4899299,-74.4595377,,
node,104219749,40.464172,-74.478944,,
node,104219786,40.4671318,-74.4652969,,
node,104221096,40.4677513,-74.4474633,,
node,104221097,40.4675854,-74.4472308,,
node,104221099,40.4674298,-74.4469134,,
node,104221101,40.4673473,-74.4465446,,
node,104221103,40.4674225,-74.4460031,,
node,104221105,40.4679592,-74.4451003,,
node,104221107,40.46813,-74.4448048,,
node,104221109,40.4683565,-74.4444242,,
node,104221111,40.4689205,-74.4435308,,
node,104221300,40.4634235,-74.4739889,,
node,104221302,40.4637142,-74.4745167,,
node,104221344,40.468239,-74.475095,,
node,104221346,40.468186,-74.475129,,
node,104221348,40.468092,-74.475117,,
node,104221494,40.4808649,-74.4505095,,
node,104221673,40.4949428,-74.4190602,,
node,104221679,40.4943024,-74.418808,,
node,104222097,40.4935551,-74.4588434,,
node,104222099,40.4936642,-74.4588752,,
node,104222564,40.532425,-74.47251,,
